"Customer_ID","InvoiceNo","InvoiceDate","Unit_Price","Quantity","LastPurchaseDate","Recency","Frequency","Monetary","Total.Spent","RecencyScore","FrequencyScore","MonetaryScore","REC.SCR.normalized","FRQ.SCR.normallized","MON.SCR.normalized","RFM","Country","Cluster"
18699,559686,"11/06/2011"," $3.79 ",5,"18/11/2011",44,4," $130.85 "," $18.95 ",11059,6820,4749,5,5,2,12,"Philippines",3
18635,559686,"10/08/2010"," $5.10 ",1,"17/11/2010",410,2," $105.30 "," $5.10 ",819,1317,4104,2,3,2,7,"Czech Republic",1
17983,559686,"20/02/2011"," $3.49 ",8,"30/12/2011",2,5," $999.23 "," $27.92 ",13880,9484,9996,5,5,4,14,"Thailand",3
18198,559686,"30/04/2010"," $11.51 ",10,"10/04/2011",266,5," $345.22 "," $115.10 ",3729,9484,7426,4,5,3,12,"Argentina",3
18949,559686,"15/06/2010"," $11.41 ",12,"15/06/2010",565,2," $247.80 "," $136.92 ",321,1317,6606,1,3,3,7,"United States",4
18586,559686,"08/08/2010"," $1.39 ",10,"29/11/2011",33,6," $513.66 "," $13.90 ",11904,11399,8376,5,5,3,13,"Russia",3
18181,559686,"27/11/2011"," $1.15 ",7,"27/11/2011",35,1," $8.05 "," $8.05 ",11740,1,314,5,1,1,7,"Thailand",2
18232,559686,"06/12/2010"," $5.82 ",1,"06/12/2010",391,1," $5.82 "," $5.82 ",906,1,203,2,1,1,4,"Macedonia",1
18095,559686,"31/01/2010"," $9.38 ",7,"13/11/2011",49,5," $277.20 "," $65.66 ",10805,9481,6900,5,5,3,13,"France",3
18548,559686,"28/03/2011"," $5.27 ",5,"28/03/2011",279,3," $211.13 "," $26.35 ",3482,3731,6131,4,4,3,11,"United Arab Emirates",3
18336,559686,"22/06/2010"," $1.94 ",3,"02/12/2010",395,2," $13.12 "," $5.82 ",885,1315,548,2,3,1,6,"Brazil",1
18020,559686,"20/09/2010"," $5.00 ",5,"10/12/2011",22,5," $766.06 "," $25.00 ",12639,9479,9387,5,5,4,14,"China",3
18598,559686,"25/03/2011"," $6.22 ",10,"25/03/2011",282,3," $174.93 "," $62.20 ",3429,3730,5565,4,4,2,10,"Netherlands",2
17972,559686,"11/03/2010"," $8.58 ",5,"22/08/2010",497,3," $608.40 "," $42.90 ",480,3730,8794,1,4,4,9,"South Africa",4
18833,559686,"03/03/2011"," $8.35 ",8,"03/03/2011",304,1," $66.80 "," $66.80 ",2969,1,2910,3,1,2,6,"China",1
18229,559686,"11/05/2010"," $0.76 ",8,"20/05/2011",226,3," $119.65 "," $6.08 ",4513,3729,4483,4,4,2,10,"Japan",2
18528,559686,"23/10/2011"," $1.29 ",6,"23/10/2011",70,1," $7.74 "," $7.74 ",9697,1,295,5,1,1,7,"Panama",2
18688,559686,"01/01/2010"," $0.66 ",8,"09/06/2011",206,2," $93.88 "," $5.28 ",5008,1313,3795,4,3,2,9,"Philippines",2
18502,559686,"10/02/2010"," $4.40 ",12,"22/05/2011",224,4," $115.46 "," $52.80 ",4578,6808,4386,4,5,2,11,"Finland",2
18754,559686,"21/12/2010"," $11.11 ",2,"14/06/2011",201,3," $101.94 "," $22.22 ",5153,3727,4018,4,4,2,10,"France",2
18470,559686,"21/05/2010"," $9.44 ",2,"03/01/2011",363,2," $24.75 "," $18.88 ",1084,1313,1115,2,3,1,6,"Ukraine",1
18060,559686,"06/05/2010"," $0.86 ",12,"24/07/2011",161,2," $88.26 "," $10.32 ",6246,1313,3627,5,3,2,10,"Ecuador",2
18432,559686,"03/08/2011"," $1.52 ",8,"21/09/2011",102,3," $74.86 "," $12.16 ",8353,3725,3215,5,4,2,11,"Sweden",2
18507,559686,"14/05/2011"," $6.29 ",1,"14/05/2011",232,2," $43.01 "," $6.29 ",4352,1313,1957,4,3,1,8,"Syria",2
18818,559686,"27/08/2010"," $4.71 ",5,"20/02/2011",315,2," $80.19 "," $23.55 ",2783,1313,3389,3,3,2,8,"Indonesia",2
18887,559686,"10/11/2010"," $1.24 ",2,"15/09/2011",108,3," $33.52 "," $2.48 ",8170,3723,1516,5,4,1,10,"Russia",2
18035,559686,"08/10/2011"," $11.24 ",7,"08/10/2011",85,1," $78.68 "," $78.68 ",8994,1,3329,5,1,2,8,"Bangladesh",2
18403,559686,"11/07/2010"," $1.03 ",1,"22/12/2011",10,5," $498.44 "," $1.03 ",13326,9464,8298,5,5,3,13,"Guatemala",3
18220,559686,"05/12/2010"," $0.89 ",6,"17/02/2011",318,2," $41.70 "," $5.34 ",2737,1312,1887,3,3,1,7,"Mexico",2
18325,559686,"18/08/2010"," $11.82 ",5,"19/08/2011",135,2," $189.85 "," $59.10 ",7091,1312,5792,5,3,3,11,"Kyrgyzstan",2
18371,559686,"04/04/2011"," $5.15 ",8,"04/04/2011",272,1," $41.20 "," $41.20 ",3647,1,1858,4,1,1,6,"Thailand",2
18648,559686,"05/06/2011"," $0.62 ",4,"05/06/2011",210,3," $113.91 "," $2.48 ",4888,3719,4338,4,4,2,10,"Nepal",2
18856,559686,"27/08/2011"," $9.96 ",10,"27/08/2011",127,2," $160.32 "," $99.60 ",7358,1311,5331,5,3,2,10,"Thailand",2
18548,559686,"11/07/2010"," $4.22 ",3,"28/03/2011",279,3," $184.78 "," $12.66 ",3475,3718,5711,4,4,3,11,"United Kingdom",3
18009,559686,"09/08/2010"," $0.66 ",4,"30/03/2011",277,2," $96.64 "," $2.64 ",3529,1311,3885,4,3,2,9,"Sweden",2
18568,559686,"02/08/2010"," $4.58 ",5,"27/08/2011",127,3," $52.61 "," $22.90 ",7356,3717,2349,5,4,1,10,"Cyprus",2
18701,559686,"05/07/2011"," $8.64 ",3,"05/07/2011",180,3," $27.43 "," $25.92 ",5677,3717,1250,4,4,1,9,"Sweden",2
18570,559686,"18/11/2011"," $11.42 ",7,"18/11/2011",44,3," $184.78 "," $79.94 ",11028,3717,5711,5,4,3,12,"Russia",3
18608,559686,"23/04/2011"," $7.88 ",7,"23/04/2011",253,3," $110.08 "," $55.16 ",3935,3717,4241,4,4,2,10,"Sweden",2
18404,559686,"11/06/2010"," $6.26 ",4,"28/07/2011",157,3," $440.77 "," $25.04 ",6384,3717,7984,5,4,3,12,"United States",3
18216,559686,"29/11/2010"," $8.02 ",1,"03/12/2011",29,4," $860.62 "," $8.02 ",12106,6788,9656,5,5,4,14,"Australia",3
18669,559686,"31/01/2011"," $0.64 ",9,"31/01/2011",335,2," $74.50 "," $5.76 ",2418,1311,3199,3,3,2,8,"Indonesia",2
18899,559686,"10/11/2010"," $4.46 ",8,"31/05/2011",215,2," $111.07 "," $35.68 ",4790,1311,4261,4,3,2,9,"Serbia",2
18467,559686,"11/10/2011"," $11.79 ",6,"10/12/2011",22,4," $422.14 "," $70.74 ",12609,6786,7888,5,5,3,13,"China",3
18293,559686,"06/04/2010"," $7.26 ",2,"22/08/2011",132,4," $327.52 "," $14.52 ",7166,6786,7308,5,5,3,13,"Japan",3
18639,559686,"19/05/2011"," $2.37 ",4,"19/05/2011",227,1," $9.48 "," $9.48 ",4482,1,395,4,1,1,6,"Ukraine",2
18800,559686,"10/11/2010"," $2.15 ",10,"14/07/2011",171,2," $27.25 "," $21.50 ",5907,1310,1241,4,3,1,8,"Netherlands",2
18662,559686,"24/05/2010"," $1.49 ",11,"18/08/2010",501,3," $471.78 "," $16.39 ",466,3713,8161,1,4,3,8,"China",4
18221,559686,"21/08/2010"," $4.23 ",2,"23/09/2011",100,3," $26.31 "," $8.46 ",8390,3713,1201,5,4,1,10,"Argentina",2
18496,559686,"26/01/2011"," $8.16 ",9,"08/03/2011",299,5," $709.40 "," $73.44 ",3104,9443,9188,3,5,4,12,"Sweden",3
18009,559686,"30/03/2011"," $9.40 ",10,"30/03/2011",277,2," $94.00 "," $94.00 ",3526,1310,3802,4,3,2,9,"China",2
18087,559686,"02/04/2010"," $2.67 ",2,"10/12/2010",387,5," $491.66 "," $5.34 ",915,9442,8267,2,5,3,10,"United States",3
18560,559686,"23/11/2011"," $1.12 ",7,"23/11/2011",39,3," $81.44 "," $7.84 ",11379,3712,3430,5,4,2,11,"Philippines",2
18336,559686,"02/12/2010"," $0.73 ",10,"02/12/2010",395,2," $7.30 "," $7.30 ",883,1310,272,2,3,1,6,"Czech Republic",1
18922,559686,"28/02/2011"," $2.77 ",11,"04/07/2011",181,4," $381.57 "," $30.47 ",5630,6779,7670,4,5,3,12,"Senegal",3
18347,559686,"16/02/2011"," $3.58 ",8,"30/10/2011",63,3," $65.54 "," $28.64 ",10131,3711,2869,5,4,2,11,"Peru",2
18003,559686,"02/01/2010"," $5.16 ",2,"18/07/2011",167,7," $153.68 "," $10.32 ",6051,12590,5212,5,5,2,12,"Bosnia and Herzegovina",3
18936,559686,"26/07/2011"," $7.70 ",1,"12/11/2011",50,6," $719.76 "," $7.70 ",10694,11349,9233,5,5,4,14,"China",3
18722,559686,"30/11/2011"," $3.15 ",4,"30/11/2011",32,2," $104.10 "," $12.60 ",11926,1310,4080,5,3,2,10,"Norway",2
18950,559686,"19/09/2011"," $4.35 ",12,"29/10/2011",64,5," $206.17 "," $52.20 ",10041,9437,6048,5,5,3,13,"China",3
18884,559686,"29/08/2010"," $9.38 ",4,"13/11/2010",414,3," $157.49 "," $37.52 ",801,3710,5274,2,4,2,8,"Bangladesh",2
18391,559686,"12/02/2010"," $4.39 ",3,"12/02/2010",688,1," $13.17 "," $13.17 ",60,1,550,1,1,1,3,"France",1
18841,559686,"27/06/2010"," $11.45 ",3,"11/12/2011",21,4," $298.31 "," $34.35 ",12661,6775,7088,5,5,3,13,"Czech Republic",3
18574,559686,"07/07/2011"," $0.44 ",10,"08/12/2011",24,3," $1,018.55 "," $4.40 ",12452,3709,10041,5,4,4,13,"China",3
18796,559686,"11/04/2011"," $3.37 ",11,"11/04/2011",265,1," $37.07 "," $37.07 ",3714,1,1693,4,1,1,6,"Sweden",2
18887,559686,"15/09/2011"," $2.76 ",1,"15/09/2011",108,3," $31.04 "," $2.76 ",8144,3708,1408,5,4,1,10,"South Korea",2
18324,559686,"15/08/2011"," $9.08 ",7,"15/08/2011",139,1," $63.56 "," $63.56 ",6937,1,2803,5,1,2,8,"Pakistan",2
18900,559686,"17/04/2010"," $11.07 ",7,"17/04/2010",624,1," $77.49 "," $77.49 ",183,1,3285,1,1,2,4,"Bangladesh",1
18852,559686,"17/08/2010"," $6.07 ",1,"16/07/2011",169,2," $100.43 "," $6.07 ",5981,1306,3980,4,3,2,9,"France",2
18347,559686,"30/10/2011"," $8.32 ",3,"30/10/2011",63,3," $36.90 "," $24.96 ",10122,3705,1685,5,4,1,10,"Argentina",2
18003,559686,"13/03/2010"," $3.47 ",12,"18/07/2011",167,7," $143.36 "," $41.64 ",6046,12577,5009,5,5,2,12,"Cuba",3
18251,559686,"17/06/2011"," $5.49 ",7,"17/10/2011",76,5," $335.14 "," $38.43 ",9422,9427,7359,5,5,3,13,"Nicaragua",3
18048,559686,"16/11/2011"," $9.71 ",3,"16/11/2011",46,2," $590.46 "," $29.13 ",10907,1306,8722,5,3,4,12,"Philippines",3
18742,559686,"07/03/2011"," $8.24 ",4,"29/09/2011",94,3," $153.25 "," $32.96 ",8580,3704,5205,5,4,2,11,"China",2
18520,559686,"06/03/2010"," $4.64 ",11,"21/12/2011",11,5," $600.57 "," $51.04 ",13203,9425,8763,5,5,4,14,"Poland",3
18228,559686,"29/12/2011"," $3.44 ",12,"31/12/2011",1,6," $153.33 "," $41.28 ",13869,11333,5208,5,5,2,12,"Poland",3
18516,559686,"20/11/2011"," $6.32 ",11,"20/11/2011",42,1," $69.52 "," $69.52 ",11172,1,3011,5,1,2,8,"China",2
18945,559686,"02/06/2011"," $3.95 ",10,"20/07/2011",165,3," $279.18 "," $39.50 ",6111,3703,6916,5,4,3,12,"Philippines",3
18266,559686,"25/11/2011"," $7.52 ",3,"25/11/2011",37,2," $169.35 "," $22.56 ",11499,1305,5485,5,3,2,10,"France",2
18732,559686,"18/09/2010"," $3.42 ",4,"19/07/2011",166,2," $58.20 "," $13.68 ",6055,1305,2584,5,3,1,9,"Greece",2
18119,559686,"21/08/2010"," $11.66 ",1,"24/02/2011",311,3," $73.60 "," $11.66 ",2825,3701,3167,3,4,2,9,"Brazil",2
18417,559686,"08/02/2011"," $9.36 ",7,"08/02/2011",327,2," $70.00 "," $65.52 ",2550,1305,3030,3,3,2,8,"Portugal",2
18299,559686,"16/10/2010"," $8.30 ",9,"21/06/2011",194,5," $826.02 "," $74.70 ",5237,9419,9544,4,5,4,13,"Uganda",3
18592,559686,"02/10/2010"," $0.51 ",10,"11/10/2011",82,5," $226.99 "," $5.10 ",9072,9419,6347,5,5,3,13,"Czech Republic",3
18947,559686,"07/02/2011"," $1.89 ",1,"20/11/2011",42,4," $266.05 "," $1.89 ",11166,6760,6789,5,5,3,13,"Philippines",3
18261,559686,"26/03/2010"," $0.52 ",2,"18/10/2010",440,2," $41.63 "," $1.04 ",677,1305,1883,2,3,1,6,"China",1
17981,559686,"09/12/2011"," $6.50 ",2,"09/12/2011",23,2," $42.05 "," $13.00 ",12472,1305,1910,5,3,1,9,"China",2
18832,559686,"07/04/2010"," $11.94 ",8,"21/10/2011",72,2," $145.68 "," $95.52 ",9582,1305,5056,5,3,2,10,"Mexico",2
18569,559686,"15/05/2010"," $0.36 ",4,"15/05/2010",596,1," $1.44 "," $1.44 ",240,1,11,1,1,1,3,"Czech Republic",1
18061,559686,"21/07/2011"," $3.32 ",10,"21/07/2011",164,5," $303.50 "," $33.20 ",6124,9414,7121,5,5,3,13,"China",3
18124,559686,"22/01/2010"," $0.76 ",12,"22/11/2011",40,4," $449.52 "," $9.12 ",11286,6756,8046,5,5,3,13,"Indonesia",3
18504,559686,"13/06/2011"," $3.08 ",3,"05/12/2011",27,3," $111.92 "," $9.24 ",12233,3696,4287,5,4,2,11,"Philippines",2
18515,559686,"23/06/2010"," $7.36 ",2,"01/08/2011",153,2," $35.12 "," $14.72 ",6512,1304,1590,5,3,1,9,"Russia",2
18531,559686,"02/11/2010"," $3.78 ",12,"02/11/2010",425,1," $45.36 "," $45.36 ",746,1,2051,2,1,1,4,"Russia",1
18206,559686,"12/07/2010"," $11.87 ",2,"08/01/2011",358,2," $282.70 "," $23.74 ",1576,1303,6946,2,3,3,8,"China",4
18727,559686,"03/11/2010"," $5.81 ",10,"09/09/2011",114,2," $182.60 "," $58.10 ",7884,1303,5683,5,3,3,11,"Yemen",2
18331,559686,"09/01/2010"," $7.72 ",8,"05/08/2010",514,4," $152.27 "," $61.76 ",425,6751,5185,1,5,2,8,"Indonesia",1
18157,559686,"10/04/2011"," $3.62 ",4,"21/09/2011",102,3," $69.05 "," $14.48 ",8306,3692,3001,5,4,2,11,"Iran",2
18677,559686,"16/12/2010"," $9.17 ",5,"31/12/2011",1,8," $622.64 "," $45.85 ",13847,13255,8851,5,5,4,14,"Sweden",3
18062,559686,"05/08/2011"," $4.39 ",1,"05/08/2011",149,2," $14.13 "," $4.39 ",6613,1303,601,5,3,1,9,"Poland",2
18788,559686,"16/09/2010"," $4.93 ",3,"16/10/2011",77,2," $16.07 "," $14.79 ",9354,1303,707,5,3,1,9,"Nigeria",2
18514,559686,"21/04/2010"," $10.22 ",6,"26/08/2011",128,2," $67.12 "," $61.32 ",7282,1303,2921,5,3,2,10,"Colombia",2
18621,559686,"26/09/2010"," $6.68 ",9,"26/09/2010",462,1," $60.12 "," $60.12 ",605,1,2665,1,1,1,3,"Indonesia",1
18768,559686,"28/12/2010"," $11.92 ",3,"27/11/2011",35,2," $41.68 "," $35.76 ",11656,1302,1885,5,3,1,9,"Indonesia",2
18865,559686,"17/02/2011"," $5.08 ",6,"27/04/2011",249,2," $70.52 "," $30.48 ",4021,1302,3044,4,3,2,9,"Indonesia",2
18871,559686,"05/08/2010"," $11.79 ",4,"05/09/2011",118,2," $51.90 "," $47.16 ",7698,1302,2318,5,3,1,9,"Mongolia",2
18053,559686,"21/09/2011"," $9.30 ",9,"21/09/2011",102,2," $203.22 "," $83.70 ",8301,1302,5995,5,3,3,11,"Indonesia",2
18302,559686,"20/09/2010"," $5.87 ",10,"18/12/2010",379,3," $409.15 "," $58.70 ",932,3684,7824,2,4,3,9,"China",4
18520,559686,"21/12/2011"," $11.14 ",11,"21/12/2011",11,5," $549.53 "," $122.54 ",13172,9397,8539,5,5,4,14,"China",3
18106,559686,"15/06/2010"," $3.31 ",4,"19/12/2011",13,4," $190.39 "," $13.24 ",13011,6741,5806,5,5,3,13,"Ghana",3
18380,559686,"11/05/2011"," $7.54 ",6,"25/11/2011",37,2," $862.98 "," $45.24 ",11474,1302,9661,5,3,4,12,"Argentina",3
18530,559686,"29/11/2011"," $10.00 ",9,"29/11/2011",33,2," $156.80 "," $90.00 ",11813,1302,5263,5,3,2,10,"China",2
18875,559686,"23/07/2011"," $1.66 ",9,"27/07/2011",158,2," $187.34 "," $14.94 ",6317,1302,5753,5,3,3,11,"China",2
18231,559686,"10/08/2011"," $4.11 ",7,"10/08/2011",144,4," $127.59 "," $28.77 ",6763,6738,4667,5,5,2,12,"Vietnam",3
18870,559686,"30/07/2010"," $8.95 ",10,"30/07/2010",520,1," $89.50 "," $89.50 ",415,1,3661,1,1,2,4,"Brazil",1
18952,559686,"10/06/2010"," $2.32 ",2,"10/06/2010",570,2," $13.10 "," $4.64 ",298,1301,545,1,3,1,5,"Russia",1
18707,559686,"23/09/2011"," $4.42 ",10,"23/09/2011",100,2," $80.44 "," $44.20 ",8351,1301,3401,5,3,2,10,"Indonesia",2
18443,559686,"02/11/2010"," $4.21 ",12,"12/11/2011",50,3," $136.06 "," $50.52 ",10653,3678,4850,5,4,2,11,"Philippines",2
18590,559686,"04/09/2010"," $9.06 ",7,"06/09/2011",117,3," $153.18 "," $63.42 ",7714,3678,5204,5,4,2,11,"Japan",2
18692,559686,"25/04/2011"," $4.24 ",1,"08/09/2011",115,4," $347.83 "," $4.24 ",7824,6733,7448,5,5,3,13,"Ukraine",3
18022,559686,"05/02/2010"," $4.87 ",12,"05/02/2010",695,2," $59.47 "," $58.44 ",50,1301,2640,1,3,1,5,"China",1
18052,559686,"16/01/2011"," $1.44 ",12,"19/08/2011",135,4," $203.78 "," $17.28 ",7045,6732,6010,5,5,3,13,"China",3
18775,559686,"12/07/2010"," $11.17 ",2,"04/01/2011",362,6," $498.46 "," $22.34 ",1119,11288,8299,2,5,3,10,"Poland",3
18746,559686,"20/01/2010"," $1.61 ",2,"15/09/2011",108,4," $428.10 "," $3.22 ",8112,6732,7916,5,5,3,13,"Iran",3
18790,559686,"15/01/2010"," $9.67 ",3,"15/01/2010",716,1," $29.01 "," $29.01 ",16,1,1314,1,1,1,3,"Russia",1
18357,559686,"27/02/2011"," $5.34 ",2,"27/02/2011",308,2," $81.48 "," $10.68 ",2862,1300,3432,3,3,2,8,"Bulgaria",2
18884,559686,"03/01/2010"," $7.39 ",9,"13/11/2010",414,3," $119.97 "," $66.51 ",790,3675,4493,2,4,2,8,"Spain",2
18457,559686,"07/05/2010"," $2.98 ",6,"29/10/2010",429,5," $137.38 "," $17.88 ",720,9380,4885,2,5,2,9,"Brazil",2
18781,559686,"24/11/2011"," $9.70 ",10,"24/11/2011",38,1," $97.00 "," $97.00 ",11421,1,3898,5,1,2,8,"Vietnam",2
18959,559686,"25/10/2011"," $4.38 ",7,"25/10/2011",68,2," $112.00 "," $30.66 ",9747,1299,4289,5,3,2,10,"China",2
18562,559686,"22/12/2010"," $6.35 ",1,"21/10/2011",72,2," $91.40 "," $6.35 ",9551,1299,3723,5,3,2,10,"Brazil",2
18679,559686,"10/02/2011"," $4.29 ",5,"10/02/2011",325,2," $33.21 "," $21.45 ",2560,1299,1499,3,3,1,7,"Peru",2
18056,559686,"01/08/2011"," $5.07 ",3,"01/08/2011",153,4," $643.92 "," $15.21 ",6496,6725,8951,5,5,4,14,"Portugal",3
17987,559686,"30/06/2011"," $7.50 ",2,"30/06/2011",185,2," $22.26 "," $15.00 ",5446,1299,978,4,3,1,8,"Uzbekistan",2
18352,559686,"18/12/2011"," $1.06 ",8,"18/12/2011",14,1," $8.48 "," $8.48 ",12866,1,339,5,1,1,7,"Canada",2
18108,559686,"19/08/2010"," $9.57 ",6,"19/01/2011",347,4," $365.64 "," $57.42 ",2248,6723,7572,3,5,3,11,"Argentina",3
18495,559686,"08/03/2010"," $9.19 ",2,"29/04/2010",612,2," $115.22 "," $18.38 ",198,1298,4379,1,3,2,6,"Haiti",1
18886,559686,"15/02/2010"," $8.45 ",9,"24/05/2011",222,3," $204.44 "," $76.05 ",4589,3668,6020,4,4,3,11,"Vietnam",3
18390,559686,"22/06/2011"," $4.20 ",8,"22/06/2011",193,3," $250.68 "," $33.60 ",5248,3668,6646,4,4,3,11,"Sweden",3
18493,559686,"02/04/2011"," $10.31 ",3,"21/04/2011",255,4," $93.49 "," $30.93 ",3859,6720,3785,4,5,2,11,"Peru",2
17978,559686,"07/06/2011"," $4.63 ",2,"07/06/2011",208,2," $11.58 "," $9.26 ",4891,1298,486,4,3,1,8,"Cuba",2
18245,559686,"02/06/2011"," $0.98 ",1,"02/06/2011",213,4," $191.46 "," $0.98 ",4794,6719,5823,4,5,3,12,"Iran",3
18445,559686,"03/10/2010"," $6.10 ",3,"03/09/2011",120,4," $420.49 "," $18.30 ",7641,6719,7879,5,5,3,13,"Brazil",3
18020,559686,"07/06/2010"," $0.63 ",8,"10/12/2011",22,5," $741.06 "," $5.04 ",12517,9365,9301,5,5,4,14,"Uganda",3
18212,559686,"24/12/2011"," $5.01 ",11,"24/12/2011",8,3," $233.76 "," $55.11 ",13402,3667,6451,5,4,3,12,"China",3
18817,559686,"26/10/2010"," $9.34 ",8,"30/01/2011",336,3," $178.47 "," $74.72 ",2366,3667,5624,3,4,3,10,"Russia",3
18361,559686,"09/10/2010"," $7.12 ",5,"09/10/2010",449,1," $35.60 "," $35.60 ",640,1,1612,2,1,1,4,"Croatia",1
18106,559686,"06/03/2011"," $5.69 ",10,"19/12/2011",13,4," $177.15 "," $56.90 ",12975,6716,5601,5,5,3,13,"Portugal",3
18005,559686,"14/05/2010"," $8.54 ",5,"09/09/2011",114,4," $188.38 "," $42.70 ",7851,6716,5771,5,5,3,13,"Indonesia",3
18862,559686,"29/08/2011"," $10.67 ",6,"29/08/2011",125,3," $326.75 "," $64.02 ",7425,3666,7301,5,4,3,12,"Bosnia and Herzegovina",3
18800,559686,"14/07/2011"," $1.15 ",5,"14/07/2011",171,2," $5.75 "," $5.75 ",5867,1297,197,4,3,1,8,"Slovenia",2
18502,559686,"22/05/2011"," $8.42 ",4,"22/05/2011",224,4," $62.66 "," $33.68 ",4535,6714,2771,4,5,1,10,"China",2
18817,559686,"30/01/2011"," $7.75 ",6,"30/01/2011",336,3," $103.75 "," $46.50 ",2365,3665,4070,3,4,2,9,"Bangladesh",2
18754,559686,"21/09/2010"," $2.11 ",10,"14/06/2011",201,3," $79.72 "," $21.10 ",5103,3665,3364,4,4,2,10,"Brazil",2
18892,559686,"17/10/2011"," $2.41 ",4,"17/10/2011",76,6," $291.85 "," $9.64 ",9364,11257,7033,5,5,3,13,"Russia",3
18326,559686,"16/11/2010"," $0.67 ",12,"04/03/2011",303,6," $1,270.93 "," $8.04 ",2956,11257,10495,3,5,4,12,"China",3
18755,559686,"15/06/2010"," $10.28 ",3,"07/04/2011",269,2," $86.28 "," $30.84 ",3642,1297,3576,4,3,2,9,"Ecuador",2
18078,559686,"27/03/2010"," $6.02 ",6,"31/10/2011",62,4," $154.70 "," $36.12 ",10173,6711,5229,5,5,2,12,"Philippines",3
18906,559686,"03/09/2010"," $10.23 ",11,"25/02/2011",310,3," $152.07 "," $112.53 ",2817,3664,5178,3,4,2,9,"Portugal",2
18857,559686,"04/02/2011"," $8.63 ",1,"21/09/2011",102,4," $145.19 "," $8.63 ",8264,6710,5047,5,5,2,12,"Philippines",3
18285,559686,"27/07/2010"," $10.51 ",10,"27/11/2011",35,5," $519.81 "," $105.10 ",11607,9351,8407,5,5,4,14,"Poland",3
18534,559686,"06/04/2011"," $3.88 ",6,"06/04/2011",270,2," $63.72 "," $23.28 ",3627,1297,2807,4,3,2,9,"Poland",2
18775,559686,"07/03/2010"," $11.52 ",4,"04/01/2011",362,6," $476.12 "," $46.08 ",1114,11251,8177,2,5,3,10,"Sudan",3
18507,559686,"25/12/2010"," $4.08 ",9,"14/05/2011",232,2," $36.72 "," $36.72 ",4306,1297,1671,4,3,1,8,"Sweden",2
18490,559686,"30/10/2011"," $4.18 ",8,"30/10/2011",63,4," $147.87 "," $33.44 ",10051,6708,5099,5,5,2,12,"China",3
18081,559686,"03/12/2010"," $3.66 ",4,"03/12/2010",394,1," $14.64 "," $14.64 ",872,1,630,2,1,1,4,"France",1
18689,559686,"14/10/2010"," $2.15 ",4,"04/11/2011",58,5," $508.76 "," $8.60 ",10330,9347,8359,5,5,3,13,"Macedonia",3
18785,559686,"03/01/2011"," $4.11 ",9,"30/10/2011",63,6," $1,223.68 "," $36.99 ",10050,11247,10425,5,5,4,14,"Brazil",3
